Time,x-coordinate,y-coordinate,temperature
4,4.00E-03,6.00E-03,4.00E+02
4,6.00E-03,6.00E-03,4.00E+02
4,8.00E-03,6.00E-03,4.00E+02
4,1.00E-02,6.00E-03,4.00E+02
4,-1.00E-02,8.00E-03,4.00E+02
4,-8.00E-03,8.00E-03,4.00E+02
4,-6.00E-03,8.00E-03,4.00E+02
4,-4.00E-03,8.00E-03,4.00E+02
4,-2.00E-03,8.00E-03,4.00E+02
4,0.00E+00,8.00E-03,4.00E+02
4,2.00E-03,8.00E-03,4.00E+02
4,4.00E-03,8.00E-03,4.00E+02
4,6.00E-03,8.00E-03,4.00E+02
4,8.00E-03,8.00E-03,4.00E+02
4,1.00E-02,8.00E-03,4.00E+02
4,-8.00E-03,1.00E-02,4.00E+02
4,-6.00E-03,1.00E-02,4.00E+02
4,-4.00E-03,1.00E-02,4.00E+02
4,-2.00E-03,1.00E-02,4.00E+02
4,0.00E+00,1.00E-02,4.00E+02
4,2.00E-03,1.00E-02,4.00E+02
4,4.00E-03,1.00E-02,4.00E+02
4,6.00E-03,1.00E-02,4.00E+02
4,8.00E-03,1.00E-02,4.00E+02
3,-8.00E-03,-1.00E-02,3.85E+02
3,-6.00E-03,-1.00E-02,3.85E+02
3,-4.00E-03,-1.00E-02,3.85E+02
3,-2.00E-03,-1.00E-02,3.85E+02
3,0.00E+00,-1.00E-02,3.85E+02
3,2.00E-03,-1.00E-02,3.85E+02
3,4.00E-03,-1.00E-02,3.85E+02
3,6.00E-03,-1.00E-02,3.85E+02
3,8.00E-03,-1.00E-02,3.85E+02
3,-1.00E-02,-8.00E-03,3.85E+02
3,-8.00E-03,-8.00E-03,3.85E+02
3,-6.00E-03,-8.00E-03,3.85E+02
3,-4.00E-03,-8.00E-03,3.85E+02
3,-2.00E-03,-8.00E-03,3.85E+02
3,0.00E+00,-8.00E-03,3.85E+02
3,2.00E-03,-8.00E-03,3.85E+02
3,4.00E-03,-8.00E-03,3.85E+02
3,6.00E-03,-8.00E-03,3.85E+02
3,8.00E-03,-8.00E-03,3.85E+02
3,1.00E-02,-8.00E-03,3.85E+02
3,-1.00E-02,-6.00E-03,3.86E+02
3,-8.00E-03,-6.00E-03,3.86E+02
